DSM AB,Population,Stock,PpD,Stock change,Inflow,Outflow
1707,5197330.887510681,0.0,4.707304241086623,,,
1708,5208256.566779015,0.0,4.707304240258729,,,
1709,5215392.943599807,0.0,4.707304239361069,,,
1710,5222435.452741871,0.0,4.707304238387763,,,
1711,5230000.0,0.0,4.707304237332436,,,
1712,5238086.585374203,0.0,4.707304236188176,,,
1713,5246695.208864472,0.0,4.70730423494749,,,
1714,5255839.738149544,0.0,4.707304233602249,,,
1715,5265603.379301811,0.0,4.707304232143646,,,
1716,5276000.0,0.0,4.707304230562126,,,
1717,5287029.600244116,0.0,4.707304228847331,,,
1718,5298692.180034154,0.0,4.70730422698803,,,
1719,5311488.627502926,0.0,4.707304224972045,,,
1720,5328424.271447273,0.0,4.707304222786173,,,
1721,5350000.0,0.0,4.707304220416097,,,
1722,5376215.8131611105,0.0,4.707304217846294,,,
