,Population,Stock,Stock per capita,Stock change,Inflow,Outflow
1871,21376000.0,4220000.0,0.1974176646706587,61371.849004293326,,
1872,21669000.0,4282305.7407968445,0.19762359780316788,62305.740796844475,,
1873,21966000.0,4345523.476533082,0.19782953093567707,63217.73573623784,,
1874,22266000.0,4409457.642942235,0.19803546406818626,63934.16640915256,,
1875,22571000.0,4474506.576216897,0.19824139720069545,65048.93327466212,,
1876,22880000.0,4540474.918023722,0.19844733033320464,65968.34180682525,,
1877,23194000.0,4607563.792823766,0.19865326346571383,67088.87480004411,,
1878,23511000.0,4675378.571220822,0.19885919659822301,67814.77839705534,,
1879,23833000.0,4744319.236872541,0.1990651297307322,68940.66565171909,,
1880,24159000.0,4814189.607713049,0.1992710628632414,69870.37084050849,,
1881,24474000.0,4882000.0,0.19947699599575058,67810.39228695072,,
1882,24797000.0,4947019.5808139015,0.1995007291532807,65019.5808139015,,
1883,25013000.0,4990705.375780311,0.19952446231081084,43685.794966409914,,
1884,25292000.0,5046972.95978528,0.19954819546834096,56267.584004968405,,
1885,25574000.0,5103852.502678027,0.1995719286258711,56879.54289274756,,
1886,25859000.0,5161344.218056972,0.1995956617834012,57491.71537894476,,
1887,26148000.0,5219647.9389154725,0.19961939494093134,58303.72085850034,,
1888,26440000.0,5278564.306923321,0.19964312809846146,58916.36800784897,,
1889,26735000.0,5338093.535678935,0.1996668612559916,59529.22875561379,,
1890,27003000.0,5392245.120948327,0.19969059441352172,54151.58526939154,,
1891,27304000.0,5453000.0,0.19971432757105187,60754.879051673226,,
1892,27618000.0,5530780.394682503,0.20025998966914704,77780.3946825033,,
1893,27936000.0,5609706.687769678,0.20080565176724222,78926.29308717512,,
1894,28257000.0,5689584.075892839,0.2013513138653374,79877.38812316023,,
1895,28582000.0,5770619.36698683,0.20189697596343256,81035.29109399114,,
1896,28911000.0,5852819.108996828,0.20244263806152774,82199.7420099983,,
1897,29344000.0,5956488.679883975,0.2029883001596229,103669.57088714652,,
1898,29580000.0,6020534.6035833005,0.20353396225771808,64045.92369932588,,
1899,29921000.0,6106266.4403502885,0.20407962435581325,85731.83676698804,,
1900,30253000.0,6190528.791090092,0.20462528645390843,84262.35073980317,,
1901,30594000.0,6277000.0,0.20517094855200366,86471.20890990831,,
1902,30907000.0,6371930.948872658,0.20616465360185907,94930.94887265842,,
1903,31202000.0,6463755.106650795,0.20715835865171447,91824.15777813643,,
1904,31522000.0,6561369.352000886,0.20815206370156988,97614.24535009079,,
1905,31844000.0,6660037.860120387,0.2091457687514253,98668.50811950117,,
1906,32171000.0,6760397.0116610015,0.2101394738012807,100359.15154061466,,
1907,32653000.0,6894131.689026147,0.2111331788511361,133734.67736514565,,
1908,32834000.0,6964974.1060051555,0.21212688390099152,70842.41697900835,,
1909,33170000.0,7069209.935499593,0.21312058895084693,104235.8294944372,,
1910,33382000.0,7147563.362331445,0.21411429400070234,78353.42683185264,,
1911,33704000.0,7250000.0,0.2151079990505578,102436.63766855467,,
1912,33852000.0,7268619.216567257,0.2147175710908442,18619.21656725742,,
1913,34055000.0,7298910.859330651,0.21432714313113058,30291.64276339393,,
1914,34444000.0,7368836.217364286,0.21393671517141696,69925.35803363472,,
1915,34818000.0,7435254.628137087,0.21354628721170335,66418.41077280138,,
1916,34830000.0,7424218.577746803,0.21315585925198974,-11036.050390284508,,
1917,34831000.0,7410832.73734127,0.21276543129227612,-13385.84040553309,,
1918,34805000.0,7391711.990989838,0.2123750033325625,-19120.746351432055,,
1919,34634000.0,7341873.783463249,0.2119845753728489,-49838.20752658881,,
1920,34968000.0,7399024.146742514,0.2115941474131353,57150.36327926535,,
1921,35274000.0,7450000.0,0.21120371945342178,50975.853257485665,,
1922,35519000.0,7587898.258085729,0.21362927610815982,137898.25808572862,,
1923,35745000.0,7722879.997109784,0.21605483276289786,134981.7390240552,,
1924,36065000.0,7879495.244347039,0.2184803894176359,156615.24723725487,,
1925,36198000.0,7996353.4359277915,0.22090594607237393,116858.19158075284,,
1926,36383000.0,8125470.063720515,0.22333150272711197,129116.62779272348,,
1927,36562000.0,8254129.6051191995,0.22575705938185,128659.5413986845,,
1928,36796000.0,8396207.539682293,0.22818261603658804,142077.93456309382,,
1929,36923000.0,8514745.560281834,0.23060817269132608,118538.02059954032,,
1930,37172000.0,8662329.787251895,0.23303372934606412,147584.22697006166,,
1931,37395000.0,8805000.0,0.23545928600080224,142670.2127481047,,
1932,37619000.0,8947642.533868285,0.23784902665855778,142642.5338682849,,
