,Population,Stock,PpD,Stock Change,Inflow,Outflow,Stock change
1706,0,88806.77545727421,0,0,2057.125627208891,312.1791346215873,1744.9464925873035
1707,0,90563.24700037153,0,0,2075.0157398491006,318.54419675178497,1756.4715430973156
1708,0,92330.37448282354,0,0,2092.084221177872,324.9567387258644,1767.1274824520078
1709,0,94107.27458279397,0,0,2108.314008630529,331.4139086600994,1776.9000999704294
1710,0,95893.05736277916,0,0,2123.6955932489523,337.91281326375747,1785.7827799851948
1711,0,97686.8274162424,0,0,2138.220598959371,344.45054549612496,1793.7700534632459
1712,0,99487.68454050443,0,0,2151.881292744903,351.0241684828793,1800.8571242620237
1713,0,101294.7243895872,0,0,2164.670565220858,357.63071613809325,1807.0398490827647
1714,0,103107.03910563061,0,0,2176.581911219187,364.26719517577067,1812.3147160434164
1715,0,104923.71792894171,0,0,2187.609410381654,370.9305870705539,1816.6788233111001
1716,0,106743.84778674126,0,0,2197.747707761883,377.6178499623352,1820.1298577995476
1717,0,108566.51386066459,0,0,2206.991994434003,384.3259205106692,1822.666073923334
1718,0,110390.80096149593,0,0,2215.338816524304,391.05171569296635,1824.2871008313377
1719,0,112215.80590740794,0,0,2222.797085552262,397.79213964025666,1825.0049459120055
1720,0,114040.64642498536,0,0,2229.3846732307516,404.5441556533274,1824.8405175774242
1721,0,115864.46108903238,0,0,2235.119467637112,411.3048035900897,1823.8146640470222
1722,0,117686.40906528704,0,0,2240.0191490609163,418.071172806262,1821.9479762546543
1723,0,119505.6698518057,0,0,2244.1011876824064,424.8404011637481,1819.2607865186583
1724,0,121321.4430183437,0,0,2247.382841246205,431.6096747081924,1815.7731665380124
1725,0,123132.9479437375,0,0,2249.8811527309954,438.3762273372049,1811.5049253937905
1726,0,124939.42355129725,0,0,2251.612948014584,445.1373404548299,1806.4756075597543
1727,0,126740.1280422139,0,0,2252.5948335344087,451.8903426177653,1800.7044909166434
1728,0,128534.34082499957,0,0,2252.8453919539447,458.63260916826994,1794.2127827856748
1729,0,130321.37699914281,0,0,2252.39774950567,465.36157536242763,1787.0361741432425
1730,0,132100.59259591368,0,0,2251.2904167611946,472.0748199903269,1779.2155967708677
1731,0,133871.3835448622,0,0,2249.561003191334,478.77005424280196,1770.7909489485319
1732,0,135633.18465841474,0,0,2247.2462136493095,485.44510009677924,1761.8011135525303
1733,0,137385.46863597218,0,0,2244.381865510317,492.0978879528775,1752.2839775574394
1734,0,139127.74508739143,0,0,2241.002905798777,498.72645437952406,1742.2764514192531
1735,0,140859.5595758016,0,0,2237.1434283044214,505.3289398942575,1731.814488410164
1736,0,142580.49267970189,0,0,2232.8366906872047,511.90358678691837,1720.9331039002864
1737,0,144290.159074514,0,0,2228.115131795865,518.448736983752,1709.6663948121131
1738,0,145988.20970798185,0,0,2223.013463419116,524.9628299512656,1698.0506334678503
1739,0,147674.34152885238,0,0,2217.5762404055763,531.444419535042,1686.1318208705343
1740,0,149348.29848229224,0,0,2211.849181271415,537.8922278315536,1673.9569534398615
1741,0,151009.87015483947,0,0,2205.8767951050763,544.3051225578461,1661.5716725472303
1742,0,152658.8904615748,0,0,2199.7024132083575,550.6821064730289,1649.0203067353286
1743,0,154295.23636803913,0,0,2193.368220725391,557.0223142610662,1636.3459064643248
1744,0,155918.82664680618,0,0,2186.9152882615485,563.3250094944992,1623.5902787670493
1745,0,157529.62066862098,0,0,2180.383603492183,569.5895816773832,1610.7940218147996
1746,0,159127.61722801198,0,0,2173.812102762547,575.8155433715451,1597.996559391002
1747,0,160712.85341823366,0,0,2167.2387176253505,582.0025274036707,1585.2361902216799
1748,0,162285.40514135503,0,0,2160.70200736669,588.1502842453156,1572.5517231213744
1749,0,163845.38900707004,0,0,2154.2425549832865,594.2586892682762,1559.9838657150103
1750,0,165392.96147723106,0,0,2147.900223722426,600.3277535614097,1547.572470161016
1751,0,166928.31771475368,0,0,2141.713851136078,606.3576136134607,1535.3562375226174
1752,0,168451.6904727177,0,0,2135.7212854845807,612.3485275205699,1523.3727579640108
1753,0,169963.34902251157,0,0,2129.9594221355997,618.3008723417202,1511.6585497938795
