,Population,Stock,Stock per capita,Stock change,Inflow,Outflow,Stock AB,Stock MFH,Stock SFH,Stock TH
1785,6744944.519308019,1563724.4602072185,0.2318365192969215,11010.076871189522,,,0.0,157812.5480581943,21057.64226204925,1384854.269886975
1786,6850832.803485451,1574950.5187570087,0.22989183416587425,11226.058549790177,,,0.0,158131.8484765597,21470.711412434306,1395347.9588680146
1787,6958165.656968168,1586396.6615820122,0.22799064290648716,11446.14282500348,,,0.0,158480.01043078862,21910.298488775,1406006.3526624485
1788,7066955.922580025,1598067.0638121897,0.22613230948648153,11670.40223017754,,,0.0,158857.5150323893,22377.012261330146,1416832.5365184704
1789,7177216.337907333,1609965.9741744697,0.2243162109620746,11898.910362279974,,,0.0,159264.85817000765,22871.48271651532,1427829.6332879467
1790,7288959.526789141,1622097.7160627546,0.2225417372810279,12131.741888284916,,,0.0,159702.55093402223,23394.361685849206,1439000.803442883
1791,7402197.990619069,1634466.6886138981,0.22080829108938796,12368.972551143495,,,0.0,160171.12005202906,23946.323490901836,1450349.2450709671
1792,7516944.099460197,1647077.3677892257,0.21911528754184892,12610.679175327532,,,0.0,160671.10833543594,24528.065604500935,1461878.1938492889
1793,7633210.082974748,1659934.3074611295,0.21746215411566852,12856.939671903849,,,0.0,161203.07513729707,25140.309328622716,1473590.9229952097
1794,7751008.021170682,1673042.140504249,0.21584833042806723,13107.833043119404,,,0.0,161767.59682173436,25783.800489105073,1485490.7431934094
1795,7870349.83496759,1686405.5798907154,0.2142732680570431,13363.439386466518,,,0.0,162365.26724504822,26459.31014770467,1497581.0024979624
1796,7991247.276584589,1700029.4197889215,0.2127364303655366,13623.83989820606,,,0.0,162996.69824884916,27167.63533163296,1509865.0862084394
1797,8113711.9197533615,1713918.5366652189,0.21123729232887506,13889.116876297398,,,0.0,163662.5201653342,27909.599781018365,1522346.4167188662
1798,8237755.149759716,1728077.8903879472,0.20977534036543352,14159.353722728323,,,0.0,164363.38233499092,28686.054714511713,1535028.4533384447
