cohort,TOT,AB,MFH,SFH,TH
1667,31.874226729893984,26.103548894413674,16.385332438509288,49.77452810995025,33.777739716339255
1668,31.876219935264235,26.10554237172601,16.388112988935333,49.77491616486287,33.78023611775661
1669,31.87832703803689,26.107649761900937,16.391052427957153,49.77532639434191,33.78287517068351
1670,31.88054803818256,26.10987106486005,16.394150755574746,49.77575879838738,33.785656875119976
1671,31.882882935669976,26.11220628051995,16.397407971788112,49.776213376999294,33.78858123106601
1672,31.885331730465882,26.114655408791894,16.400824076597253,49.77669013017765,33.79164823852159
1673,31.887894422534917,26.117218449581486,16.404399070002164,49.77718905792242,33.79485789748672
1674,31.890571011839423,26.11989540278831,16.408132952002852,49.77771016023364,33.79821020796142
1675,31.89336149833938,26.1226862683055,16.412025722599317,49.778253437111275,33.80170516994567
1676,31.8962658819922,26.1255910460194,16.41607738179155,49.77881888855538,33.805342783439485
1677,31.899284162752558,26.12860973580908,16.420287929579562,49.779406514565906,33.80912304844284
1678,31.902416340572262,26.131742337545862,16.42465736596335,49.780016315142866,33.813045964955755
1679,31.905662415400013,26.13498885109288,16.429185690942905,49.78064829028625,33.81711153297821
1680,31.909022387181277,26.13834927630451,16.433872904518235,49.781302439996075,33.82131975251022
1681,31.912496255858,26.141823613025785,16.438719006689336,49.78197876427233,33.82567062355179
1682,31.91608402136845,26.145411861091905,16.443723997456217,49.782677263115026,33.83016414610289
1683,31.91978568364693,26.149114020327467,16.448887876818866,49.78339793652414,33.83480032016353
1684,31.92360124262358,26.15293009054591,16.45421064477729,49.78414078449971,33.83957914573371
1685,31.92753069822404,26.156860071548703,16.459692301331494,49.78490580704171,33.844500622813435
1686,31.931574050369246,26.16090396312466,16.465332846481466,49.785693004150154,33.84956475140271
1687,31.935731298975014,26.165061765049064,16.47113228022721,49.78650237582501,33.854771531501484
1688,31.940002443951876,26.169333477082844,16.47709060256873,49.787333922066324,33.86012096310982
1689,31.944387485204555,26.173719098971656,16.48320781350602,49.78818764287406,33.86561304622766
1690,31.948886422631762,26.178218630444835,16.489483913039088,49.789063538248236,33.87124778085502
1691,31.9534992561257,26.18283207121447,16.49591890116792,49.78996160818884,33.8770251669919
1692,31.958225985571698,26.187559420974218,16.502512777892527,49.790881852695875,33.8829452046383
1693,31.963066610847765,26.192400679398126,16.509265543212912,49.79182427176935,33.889007893794194
1694,31.968021131824088,26.197355846139402,16.516177197129068,49.792788865409264,33.8952132344596
1695,31.973089548362587,26.20242492082907,16.523247739640993,49.79377563361562,33.901561226634485
1696,31.978271860316333,26.207607903074546,16.53047717074869,49.794784576388395,33.90805187031886
1697,31.983568067529063,26.21290479245813,16.537865490452166,49.795815693727604,33.91468516551271
1698,31.988978169834446,26.218315588535393,16.545412698751402,49.79686898563327,33.92146111221603
1699,31.994502167055582,26.223840290833476,16.553118795646416,49.79794445210535,33.928379710428814
1700,32.00014005900426,26.229478898849248,16.5609837811372,49.79904209314387,33.935440960151034
1701,32.00589184548019,26.235231412047394,16.56900765522375,49.80016190874881,33.942644861382696
1702,32.01175752627035,26.241097829858326,16.577190417906078,49.801303898920196,33.94999141412378
