time,TOT,AB,MFH,SFH,TH
1671,446.76679048291913,0.0,54.9032333526705,134.07461189372145,257.78894523652724
1672,461.684425306374,0.0,56.37728963279423,137.31967644115753,267.9874592324223
1673,477.05409946881684,0.0,57.88373952336041,140.62109230191822,278.54926764353826
1674,492.88568240459824,0.0,59.42291322692394,143.9788292717005,289.4839399059738
1675,509.18886714553537,0.0,60.995107495799736,147.3927676939218,300.80099195581386
1676,525.9731711057723,0.0,62.60058657208582,150.8627017998422,312.50988273384417
1677,543.2479368611608,0.0,64.2395831145442,154.3883430052926,324.62001074132405
1678,561.0223329230791,0.0,65.91229911248614,157.9693231641556,337.1407106464374
1679,579.3053328054945,0.0,67.61890470838168,161.6051932823795,350.0812348147332
1680,598.1055199994688,0.0,69.35952054606322,165.295386838902,363.4506126145036
1681,617.4309859576817,0.0,71.13420960278918,169.03920433448695,377.2575720204057
1682,637.2893310297261,0.0,72.94297900711084,172.83581959160298,391.51053243101234
1683,657.687666017306,0.0,74.78578188434099,176.68428606563222,406.2175980673329
1684,678.632613705239,0.0,76.66251916802207,180.58354303359806,421.38655150361893
1685,700.1303103710283,0.0,78.573041377975,184.5324216614284,437.0248473316248
1686,722.1864072728648,0.0,80.51715036522265,188.5296509501565,453.1396059574857
1687,744.8060721159047,0.0,82.49460102407468,192.57386356145693,469.7376075303733
1688,767.9939904966898,0.0,84.50510297165445,196.66360152291725,486.82528600211816
1689,791.7543347115258,0.0,86.54831930726222,200.79731585484768,504.4086995494158
1690,816.0906166564375,0.0,88.62385527152323,204.9733455559356,522.4934158289786
1691,841.0056477459464,0.0,90.73125671298384,209.18991723937523,541.0844737935872
1692,866.5015409156167,0.0,92.87001229624384,213.44515248723067,560.1863761321422
1693,892.5797124648003,0.0,95.0395556529435,217.73707500832185,579.8030818035348
1694,919.2408838661931,0.0,97.23926748736028,222.06361762396295,599.9379987548699
1695,946.4850835420709,0.0,99.46847763695006,226.42262908210384,620.5939768230171
1696,974.3116486070577,0.0,101.7264670881647,230.81188070042487,641.7733008184681
1697,1002.7192265773009,0.0,104.0124699478641,235.22907283893335,663.4776837905034
1698,1031.7057770079148,0.0,106.3256753674993,239.67184119642468,685.7082604439908
1699,1061.2685615964788,0.0,108.66522848206118,244.13776109375496,708.4655720206626
1700,1091.4041181368275,0.0,111.03023003312425,248.62434916009317,731.7495389436101
1701,1122.1082581861183,0.0,113.41973794965791,253.12906884629035,755.55945139017
1702,1153.376068707713,0.0,115.83276921674499,257.64933642033094,779.8939630706371
1703,1185.2019136652598,0.0,118.26830169788049,262.1825267830519,804.7510851843272
1704,1217.5794355803732,0.0,120.72527591216746,266.7259791067443,830.1281805614616
1705,1250.501557053828,0.0,123.2025967666756,271.2770022971847,856.021957989968
1706,1283.9604822501772,0.0,125.69913524422287,275.8328802796407,882.4284667263133
1707,1317.9476983457248,0.0,128.21373004682803,280.3908771093957,909.343091189501
1708,1352.4539792619169,0.0,130.74518937233867,284.94824223733104,936.760547652247
1709,1387.4694821436915,0.0,133.29229966851423,289.5022285862596,964.6749538889177
1710,1422.9838746718167,0.0,135.85383638663376,294.0501138200744,993.0799244651085
1711,1458.986344295157,0.0,138.4285655281453,298.5892041745628,1021.9685745924488
1712,1495.4655990325778,0.0,141.01524451604578,303.11683696059856,1051.3335175559334
1713,1532.4098682755362,0.0,143.6126230394295,307.6303829536228,1081.1668622824839
1714,1569.8069035645174,0.0,146.21944386925293,312.1272486659041,1111.4602110293602
1715,1607.6439793393206,0.0,148.83444364542743,316.6048785019228,1142.2046571919705
1716,1645.907893663173,0.0,151.45635363534322,321.0607567972311,1173.3907832305986
1717,1684.5849689206752,0.0,154.08390046391807,325.49240974112666,1205.0086587156304
1718,1723.6610693450577,0.0,156.71580800693843,329.89740927199966,1237.0478520661197
1719,1763.121845386347,0.0,159.3508151291982,334.2734044383254,1269.4976258188235
1720,1802.95291662805,0.0,161.98768847268994,338.61814319657384,1302.3470849587861
1721,1843.1398755504315,0.0,164.62522237293882,342.92947134620204,1335.5851818312906
1722,1883.6682873465693,0.0,167.26223849346226,347.2053309601946,1369.2007178929125
1723,1924.5236897466173,0.0,169.89758545974524,351.44375880701335,1403.1823454798587
1724,1965.6915928365543,0.0,172.53013849170262,355.64288476226176,1437.5185695825899
1725,2007.1574788714643,0.0,175.15879903457446,359.80093021008275,1472.197749626807
1726,2048.9068020833706,0.0,177.78249438820353,363.916206434328,1507.208101260839
1727,2090.924988483651,0.0,180.40017733464055,367.9871129995102,1542.5376981494999
1728,2133.197484193635,0.0,183.01082894777693,372.0121413576388,1578.1745138882188
1729,2175.710085246173,0.0,185.61347961372877,375.9899080348459,1614.1066975975987
1730,2218.449073361907,0.0,188.2072167248148,379.9191650451588,1650.322691591933
1731,2261.401215006028,0.0,190.79118329857684,383.7987952470624,1686.8112364603887
1732,2304.553760429053,0.0,193.36457662289004,387.627807804981,1723.5613760011818
1733,2347.8944427269057,0.0,195.92664692913755,391.40533375859184,1760.5624620391764
1734,2391.4114769189678,0.0,198.47669609321076,395.1306216995147,1797.8041591262427
1735,2435.0935590440768,0.0,201.0140763641991,398.80303355508556,1835.276449124792
1736,2478.9298652744815,0.0,203.53818912063238,402.4220404789076,1872.9696356749416
1737,2522.9100510530798,0.0,206.0484836544776,405.9872188484065,1910.8743485501955
1738,2567.024323788658,0.0,208.54446047086512,409.4982532848422,1948.9816100329506
1739,2611.2637000927157,0.0,211.02568564115478,412.9549564348591,1987.283058016702
1740,2655.6200604632563,0.0,213.4917924503897,416.357268725399,2025.7709992874675
1741,2700.086147831423,0.0,215.9424796173962,419.7052528850356,2064.4384153289916
1742,2744.6555663167296,0.0,218.37750957475782,422.9990886745524,2103.278968067419
1743,2789.322780017058,0.0,220.79670679776996,426.2390678094564,2142.287005409831
1744,2834.083111833394,0.0,223.19995618224547,429.42558907392925,2181.457566577219
1745,2878.93274232919,0.0,225.58720147104896,432.55915362570244,2220.7863872324388
1746,2923.868708624311,0.0,227.95844372924935,435.64036049137366,2260.269904403688
1747,2968.8889037066265,0.0,230.31373988977901,438.6699022836344,2299.905261533213
1748,3013.992117145503,0.0,232.65320370489482,441.6485645141884,2339.6903489264196
1749,3059.178112662912,0.0,234.97700875323787,444.57722787240147,2379.6238760372726
1750,3104.4476355227716,0.0,237.2853874021048,447.4568646588823,2419.7053834617845
