DSM,SFH,MFH,TH,AB
1645,0.20097372648244186,0.24873157596417458,0.5502946975533836,0.0
1646,0.19882224382667474,0.24683489163862257,0.5543428645347027,0.0
1647,0.19668544518072376,0.2449494245452424,0.5583651302740339,0.0
1648,0.1945633200129022,0.24307516570682006,0.5623615142802777,0.0
1649,0.19245585790207415,0.24121210623080422,0.5663320358671217,0.0
1650,0.19036304853750083,0.23936023730918432,0.5702767141533148,0.0
1651,0.1882848817186869,0.23751955021836046,0.5741955680629527,0.0
1652,0.18622134735521056,0.23569003631900276,0.5780886163257867,0.0
1653,0.18417243546659,0.23387168705593028,0.5819558774774797,0.0
1654,0.18213813618210659,0.23206449395796858,0.5857973698599248,0.0
1655,0.18011843974067185,0.23026844863784904,0.5896131116214791,0.0
1656,0.17811333649067373,0.22848354279206526,0.593403120717261,0.0
1657,0.17612281688983641,0.2267097682007427,0.5971674149094209,0.0
1658,0.17414687150506084,0.22494711672754197,0.6009060117673972,0.0
1659,0.1721854910122999,0.22319558031951997,0.6046189286681801,0.0
1660,0.1702386661964113,0.22145515100702287,0.6083061827965658,0.0
1661,0.1683063879510168,0.2197258209035517,0.6119677911454315,0.0
1662,0.16638864727836802,0.21800758220567024,0.6156037705159617,0.0
1663,0.1644854352892197,0.2163004271928798,0.6192141375179006,0.0
1664,0.16259674320268716,0.2146043482274966,0.6227989085698162,0.0
1665,0.16072256234611984,0.21291933775456615,0.626358099899314,0.0
1666,0.1588628841549846,0.21124538830172748,0.6298917275432879,0.0
1667,0.15701770017271438,0.20958249247912844,0.6333998073481572,0.0
1668,0.15518700205061844,0.20793064297930344,0.6368823549700781,0.0
1669,0.15337078154772787,0.2062898325770799,0.6403393858751922,0.0
1670,0.15156903053069934,0.20466005412946964,0.643770915339831,0.0
1671,0.1497817409736858,0.20304130057556144,0.6471769584507527,0.0
1672,0.14800890495822577,0.20143356493643955,0.6505575301053347,0.0
1673,0.14625051467312183,0.19983684031506888,0.6539126450118092,0.0
1674,0.14450656241434298,0.19825111989620248,0.6572423176894545,0.0
1675,0.14277704058489554,0.1966763969462938,0.6605465624688106,0.0
1676,0.1410619416947393,0.19511266481338863,0.6638253934918721,0.0
1677,0.1393612583606575,0.19355991692705013,0.6670788247122924,0.0
1678,0.13767498330617167,0.19201814679824727,0.6703068698955811,0.0
1679,0.13600310936143217,0.1904873480192895,0.6735095426192783,0.0
1680,0.13434562946311374,0.18896751426372282,0.6766868562731634,0.0
1681,0.13270253665432807,0.18745863928624268,0.6798388240594293,0.0
1682,0.13107382408451743,0.185960716922624,0.6829654589928585,0.0
1683,0.12945948500936827,0.18447374108962394,0.6860667739010078,0.0
1684,0.1278595127907177,0.1829977057848993,0.689142781424383,0.0
1685,0.12627390089646534,0.18153260508694355,0.6921934940165911,0.0
1686,0.12470264290046852,0.18007843315498892,0.6952189239445425,0.0
1687,0.12314573248249154,0.17863518422894187,0.6982190832885666,0.0
1688,0.12160316342808337,0.1772028526292909,0.7011939839426258,0.0
1689,0.12007492962851866,0.17578143275706049,0.7041436376144209,0.0
1690,0.11856102508071201,0.1743709190937079,0.7070680558255801,0.0
1691,0.11706144388713048,0.1729713062010758,0.7099672499117937,0.0
1692,0.11557618025574282,0.17158258872130916,0.712841231022948,0.0
1693,0.11410522849990654,0.17020476137678633,0.7156900101233071,0.0
