DSM TH,Population,Stock,PpD,Stock change,Inflow,Outflow
1640,5083784.834043155,452181.979854879,4.707304250867438,,,
1641,5092000.0,456694.0174507488,4.707304250863775,,,
1642,5104700.020277941,461214.42608577484,4.707304250859804,,,
1643,5121884.894876973,465743.7122047949,4.707304250855499,,,
1644,5142620.678013075,470282.3897343062,4.70730425085083,,,
1645,5161303.694982095,474830.9801787695,4.707304250845768,,,
1646,5177000.0,479390.0127175242,4.70730425084028,,,
1647,5189709.593066797,483960.0243022764,4.707304250834329,,,
1648,5199432.474182479,488541.55975506373,4.707304250827876,,,
1649,5206861.4095141385,493135.1718668062,4.70730425082088,,,
1650,5216152.996064285,497741.4214962968,4.707304250813294,,,
1651,5228000.0,502360.8776696705,4.70730425080507,,,
1652,5242402.421321291,506994.1176803422,4.707304250796152,,,
1653,5259360.26002815,511641.72718931414,4.707304250786482,,,
1654,5277090.864902095,516304.3003259313,4.707304250775997,,,
1655,5284898.328632209,520982.43978892267,4.707304250764629,,,
1656,5281000.0,525676.7569478307,4.707304250752303,,,
1657,5265395.879005472,530387.8719447152,4.707304250738939,,,
1658,5238085.965648621,535116.4137961097,4.707304250724447,,,
1659,5201273.401073286,539863.0204952161,4.707304250708735,,,
1660,5168177.032142469,544628.339114283,4.707304250691699,,,
1661,5141000.0,549413.0259071584,4.707304250673227,,,
1662,5119742.304645882,554217.7464119146,4.707304250653198,,,
1663,5104403.946080113,559043.1755535693,4.707304250631482,,,
1664,5093908.728658179,563889.9977468483,4.707304250607936,,,
1665,5081799.478512982,568758.9069988853,4.707304250582405,,,
1666,5067000.0,573650.6070118968,4.707304250554723,,,
1667,5049510.29311924,578565.8112857285,4.707304250524708,,,
1668,5029330.357870695,583505.2432202188,4.7073042504921645,,,
1669,5007674.226977635,588469.6362173792,4.707304250456877,,,
1670,4991826.096779651,593459.7337832627,4.707304250418617,,,
1671,4983000.0,598476.2896295344,4.707304250377133,,,
1672,4981195.936638689,603520.0677746128,4.707304250332152,,,
1673,4986413.906695712,608591.8426444002,4.707304250283381,,,
1674,4997005.909476003,613692.399172458,4.7073042502305,,,
1675,5003083.940809124,618822.532899623,4.707304250173163,,,
1676,5003000.0,623983.0500729547,4.707304250110994,,,
1677,4996754.087048637,629174.767743967,4.707304250043586,,,
1678,4984346.201955027,634398.5138660618,4.707304249970497,,,
1679,4966570.316166347,639655.1273910634,4.7073042498912505,,,
1680,4948190.258365615,644945.4583648372,4.707304249805325,,,
1681,4930000.0,650270.3680218372,4.707304249712157,,,
1682,4911999.541069505,655630.7288785349,4.7073042496111395,,,
1683,4894188.881574126,661027.4248256495,4.707304249501608,,,
1684,4877492.193525918,666461.3512190668,4.707304249382847,,,
1685,4867454.5089971945,671933.414969341,4.707304249254078,,,
1686,4865000.0,677444.534629756,4.707304249114458,,,
1687,4870128.666534343,682995.6404827058,4.707304248963072,,,
1688,4882840.508600216,688587.6746244775,4.707304248798928,,,
1689,4901716.522678143,694221.5910481209,4.707304248620952,,,
1690,4918242.687651233,699898.3557244854,4.707304248427978,,,
1691,4931000.0,705618.9466811767,4.707304248218742,,,
1692,4939988.45972445,711384.3540793596,4.707304247991873,,,
1693,4945208.066824576,717195.5802883423,4.707304247745887,,,
1694,4947608.670405221,723053.6399576726,4.70730424747917,,,
1695,4952889.365095419,728959.5600868028,4.707304247189978,,,
1696,4962000.0,734914.3800920116,4.707304246876416,,,
