cohort,TOT,AB,MFH,SFH,TH
1740,8.47070718941324,3.6846467416647255,5.135348435467987,16.952965347862833,10.55002874552969
1741,8.47340881507594,3.686077554639517,5.139690660433585,16.95364766655079,10.553995572409834
1742,8.476140292955911,3.687524177702429,5.144080865785547,16.954337524671768,10.558006231631197
1743,8.478901623053149,3.6889866108534597,5.148519051523867,16.955034922225764,10.562060723193776
1744,8.481692805367652,3.690464854092609,5.1530052176485475,16.955739859212773,10.566159047097567
1745,8.484513839899423,3.6919589074198775,5.157539364159589,16.956452335632793,10.57030120334258
1746,8.487364726648462,3.693468770835265,5.162121491056989,16.957172351485834,10.574487191928808
1747,8.49024546561477,3.694994444338773,5.16675159834075,16.957899906771893,10.578717012856256
1748,8.493156056798341,3.696535927930399,5.171429686010872,16.958635001490965,10.582990666124916
1749,8.496096500199185,3.698093221610145,5.176155754067354,16.959377635643055,10.587308151734799
1750,8.49906679581729,3.69966632537801,5.180929802510194,16.96012780922816,10.591669469685893
1751,8.502066943652668,3.701255239233994,5.185751831339397,16.960885522246283,10.596074619978209
1752,8.50509694370531,3.7028599631780974,5.190621840554959,16.96165077469742,10.60052360261174
1753,8.508156795975221,3.7044804972103207,5.195539830156882,16.962423566581574,10.605016417586489
1754,8.511246500462399,3.706116841330662,5.200505800145163,16.963203897898744,10.609553064902453
1755,8.514366057166846,3.7077689955391233,5.205519750519808,16.963991768648928,10.614133544559635
1756,8.517515466088557,3.7094369598357035,5.210581681280811,16.964787178832132,10.618757856558037
1757,8.520694727227538,3.7111207342204025,5.215691592428173,16.965590128448344,10.623426000897648
1758,8.523903840583786,3.7128203186932223,5.2208494839618975,16.966400617497584,10.628137977578483
1759,8.5271428061573,3.7145357132541603,5.226055355881981,16.967218645979838,10.632893786600535
1760,8.530411623948087,3.716266917903219,5.231309208188426,16.968044213895105,10.637693427963804
1761,8.533710293956135,3.7180139326403947,5.23661104088123,16.968877321243383,10.642536901668288
1762,8.537038816181452,3.7197767574656906,5.241960853960395,16.969717968024682,10.647424207713991
1763,8.540397190624036,3.721555392379106,5.24735864742592,16.970566154239,10.652355346100908
1764,8.543785417283889,3.72334983738064,5.252804421277803,16.97142187988633,10.657330316829045
1765,8.547203496161007,3.725160092470294,5.258298175516049,16.972285144966673,10.662349119898396
1766,8.550651427255396,3.7269861576480667,5.263839910140654,16.973155949480034,10.667411755308965
1767,8.554129210567051,3.728828032913959,5.26942962515162,16.974034293426417,10.672518223060756
1768,8.557636846095972,3.73068571826797,5.275067320548946,16.974920176805817,10.677668523153757
1769,8.561174333842164,3.7325592137101014,5.280752996332631,16.975813599618228,10.682862655587979
1770,8.56474167380562,3.7344485192403503,5.286486652502679,16.976714561863652,10.688100620363416
1771,8.568338865986343,3.73635363485872,5.292268289059084,16.977623063542097,10.693382417480072
1772,8.571965910384336,3.7382745605652086,5.298097906001851,16.978539104653557,10.698708046937943
1773,8.575622806999593,3.7402112963598158,5.303975503330978,16.979462685198037,10.704077508737031
1774,8.579309555832122,3.7421638422425425,5.309901081046465,16.980393805175524,10.70949080287734
