DSM,Population,Stock,PpD,Stock change,Inflow,Outflow
1639,4010491.876652226,853303.7058215322,4.699958349285567,,,
1640,4018690.2523691505,855048.0565386362,4.699958349285555,,,
1641,4027025.210098256,856821.46751586,4.699958349285541,,,
1642,4035498.9887478664,858624.4151208983,4.699958349285525,,,
1643,4044113.862692048,860457.3832674151,4.699958349285508,,,
1644,4052872.1422904246,862320.8635256444,4.699958349285488,,,
1645,4061776.1744141686,864215.3552343032,4.699958349285467,,,
1646,4070828.3429781725,866141.3656138206,4.699958349285444,,,
1647,4080031.069479435,868099.4098808904,4.699958349285418,,,
1648,4089386.8135416685,870090.011364344,4.69995834928539,,,
1649,4098898.073466141,872113.7016223536,4.6999583492853585,,,
1650,4108567.3867887673,874171.0205609623,4.699958349285324,,,
1651,4118397.3308434547,876262.5165539462,4.699958349285285,,,
1652,4128390.523331711,878388.7465640085,4.699958349285243,,,
1653,4138549.622898512,880550.2762653063,4.699958349285196,,,
1654,4148877.3297144338,882747.6801673087,4.6999583492851436,,,
1655,4159376.3860640433,884981.5417399877,4.699958349285087,,,
1656,4170049.576940537,887252.4535403388,4.699958349285023,,,
1657,4180899.730646622,889561.017340228,4.6999583492849535,,,
1658,4191929.7194016157,891907.8442555647,4.699958349284875,,,
1659,4203142.459954763,894293.5548767939,4.69995834928479,,,
1660,4214540.914204724,896718.7794007049,4.699958349284696,,,
1661,4226128.089825228,899184.1577635496,4.699958349284591,,,
1662,4237907.040896849,901690.3397754643,4.699958349284476,,,
1663,4249880.868544872,904237.9852561868,4.699958349284348,,,
1664,4262052.72158321,906827.7641720613,4.699958349284207,,,
1665,4274425.797164323,909460.3567743212,4.699958349284051,,,
1666,4287003.341435093,912136.4537386366,4.699958349283879,,,
1667,4299788.650198599,914856.7563059195,4.699958349283689,,,
1668,4312785.069581724,917621.9764243697,4.699958349283478,,,
1669,4325995.996708532,920432.8368927474,4.6999583492832455,,,
1670,4339424.880379354,923290.0715048598,4.699958349282989,,,
1671,4353075.221755473,926194.4251952419,4.699958349282705,,,
1672,4366950.575049361,929146.6541860154,4.699958349282391,,,
1673,4381054.548220341,932147.5261349032,4.699958349282045,,,
1674,4395390.8036755975,935197.8202843833,4.699958349281661,,,
1675,4409963.058976424,938298.3276119538,4.699958349281237,,,
1676,4424775.087549592,941449.8509814905,4.699958349280769,,,
1677,4439830.719403716,944653.2052956658,4.6999583492802515,,,
1678,4455133.841850495,947909.2176494059,4.69995834927968,,,
1679,4470688.400230685,951218.7274843549,4.699958349279048,,,
1680,4486498.398644667,954582.5867443149,4.69995834927835,,,
1681,4502567.90068744,958001.6600316302,4.699958349277578,,,
1682,4518901.030187894,961476.8247644803,4.6999583492767245,,,
1683,4535501.971952171,965008.9713350434,4.699958349275782,,,
1684,4552374.9725109525,968599.0032684945,4.69995834927474,,,
1685,4569524.340870458,972247.837382795,4.699958349273588,,,
1686,4586954.449266973,975956.403949231,4.699958349272316,,,
1687,4604669.733924677,979725.6468536546,4.69995834927091,,,
1688,4622674.695816556,983556.5237583831,4.699958349269355,,,
1689,4640973.901428161,987450.0062647007,4.699958349267638,,,
1690,4659571.983523957,991407.0800759137,4.699958349265739,,,
1691,4678473.641916029,995428.745160906,4.699958349263641,,,
1692,4697683.644234829,999516.0159181303,4.699958349261322,,,
1693,4717206.826701723,1003669.9213399804,4.699958349258759,,,
1694,4737048.094903018,1007891.5051774796,4.699958349255927,,,
1695,4757212.424565156,1012181.8261052168,4.699958349252797,,,
1696,4777704.862330754,1016541.9578864638,4.6999583492493375,,,
1697,4798530.526535157,1020972.9895384003,4.699958349245514,,,
1698,4819694.607983133,1025476.0254973691,4.699958349241289,,,
1699,4841202.370725357,1030052.1857840886,4.69995834923662,,,
1700,4863059.152834284,1034702.6061687325,4.6999583492314585,,,
1701,4885270.367179022,1039428.438335798,4.6999583492257555,,,
1702,4907841.502198772,1044230.8500486698,4.699958349219452,,,
1703,4930778.122674418,1049111.0253137897,4.699958349212486,,,
